CODIGO_AERONAVE,DATA_VALIDADE_2023,OPERADOR_2023,CNPJ_2023,TIPO_USO_2023,FABRICANTE_2023,MODELO_2023,NUMERO_SERIE_2023,PESO_MAXIMO_DECOLAGEM_KG_2023,RAMO_ATIVIDADE_2023
PP-000045743,2023-05-25,Salobo Metais,33.931.478/0003-56,Básico,PARROT,ANAFI WORK,PS728000BA8H064303,0.32,Mineração
PP-001009722,2023-05-13,VALE S.A.,33.592.510/0021-06,Básico,DJI,Phantom 4,07DD760B1221,0.09,SEGURANÇA EMPRESARIAL
PP-007122020,2023-11-24,Mineracoes Brasileiras Reunidas S A,33.417.445/0107-89,Básico,PARROT,ANAFI WORK,PF728100AA0F072595,0.4,MINERAÇÃO
PP-022092021,2023-09-22,VALE S.A.,33.592.510/0007-40,Básico,DJI,Mavic,163CGC6R0A6ACR,0.907,Aerofotografia
PP-033012022,2023-05-12,VALE S.A.,33.592.510/0021-06,Básico,DJI,Phantom 4 Pro,0AXCE370A30533,9,Inspeção de segurança patrimonial
PP-100011001,2023-05-12,VALE S.A.,33.592.510/0021-06,Básico,DJI,MATRICE 200,0D4DFBH0C3003J,6.14,Aerofotografia para controle de estoque
PP-152063600,2023-05-14,Vale S.A.,33.592.510/0055-47,Básico,DJI,MATRICE 200,1.21433E+11,6.14,Aerofotografia para controle de estoque
PP-164549070,2023-05-19,Salobo Metais,33.931.478/0003-56,Básico,DJI,Mavic,276CH6GR0A0B1P,0.905,Aerolevantamento - Aerofotogrametria
PP-200724801,2023-07-05,VALE S.A.,33.592.510/0053-85,Básico,DJI,Matrice 210 RTK V2,17UBHC7R0100GF,6.14,Combate a Incêndio
PP-200724802,2023-07-05,VALE S.A.,33.592.510/0053-85,Básico,DJI,Matrice 210 RTK V2,17UDGAQ013FY2P,6.14,Combate a Incêndio
PP-200724803,2023-11-08,VALE S.A.,33.592.510/0053-85,Básico,DJI,DJI Mavic 2 Enterprise Advanced,4GCCJ6QR0A0FU0,0.909,Combate a Incêndio
PP-200724804,2023-11-08,VALE S.A.,33.592.510/0053-85,Básico,DJI,DJI Mavic 2 Enterprise Advanced,4GCCJ6QR0A0G1T,0.909,Combate a Incêndio
PP-200724805,2023-11-08,VALE S.A.,33.592.510/0053-85,Básico,DJI,DJI Mavic 2 Enterprise Advanced,4GCCJ5R0A0B8Q,0.909,DJI Mavic 2 Enterprise Advanced
PP-201906131,2023-06-07,VALE - MINA MANGANES DO AZUL,33.592.510/0130-51,Básico,DJI,Mavic,276DF9N00100J0,0.91,Aeroinspeção
PP-201906133,2023-06-07,VALE - MINA MANGANES DO AZUL,33.592.510/0130-51,Básico,DJI,Mavic,276DFAJ001RZ6C,0.91,Aeroinspeção
PP-202101058,2023-05-24,VALE S.A.,33.592.510/0370-74,Básico,PARROT,ANAFI WORK,C8J249605,0.446,Aeroinspeção
PP-202122077,2023-06-08,Salobo Metais,33.931.478/0003-56,Básico,SenseFly,Ebee Plus,EP-11-28418,1.1,Levantamento  aéreo em mineração.
PP-202128070,2023-06-08,Salobo Metais,33.931.478/0003-56,Básico,SenseFly,Ebee Plus, EP-11-01952,1.1,Levantamento  aéreo em mineração.
PP-264549070,2023-05-19,Salobo Metais,33.931.478/0003-56,Básico,DJI,Mavic,276CH9VR0A0E7V,0.905,Aerolevantamento - Aerofotogrametria
PP-276902021,2023-05-16,VALE S.A.,33.592.510/0009-01,Básico,DJI,Mavic, 276CH9VR0A0EAJ,0.91,Aeroinspeção
PP-640045729,2023-05-05,Salobo Metais,33.931.478/0003-56,Básico,PARROT,Anafi,PS728000BA8H071795,0.32,Aerofotografia
PP-999150222,2023-05-26,VALE S.A.,33.592.510/0037-65,Básico,DJI,Phantom 4 Pro,11USHBER710067,2,Aerofotografia
PP-016200500,2025-09-11,Mina de fazendão,33.592.510/0235-29,Básico,DJI,Mavic 2 Pro,163DFBP001C2PO,0.91,Aerofotografia
PP-202321023,2025-02-24,CVRD TERMINAL MARITIMO DE PONTA DA MADEIRA,33.592.510/0424-00,Básico,DJI,Matrice 210,17UDGBF013GLQD,6,Aerolevantamento - Aerofotogrametria
PP-011072023,2025-07-11,CVRD TERMINAL MARITIMO DE PONTA DA MADEIRA,33.592.510/0424-00,Básico,DJI,Matrice 30 (M30/M30T),1581F5BKD22AA00CDB73,4,Aeroinspeção
PP-197720413,2024-07-12,CVRD - MINA DE GONGO SOCO,33.592.510/0433-92,Básico,DJI,Mavic 2 Enterprise,4GCCJ7JR0A0JAV,1.74,Aerofotografia
PP-480002023,2025-03-10,MINA SERRA DO SOSSEGO,33.592.510/0009-01,Básico,DJI,Mavic 2 Enterprise Advanced (M2EA),4GCCK8JR0B0XGJ,1.1,Aeroinspeção
PP-000711711,2025-09-26,Levi Welington de Resende Filho / Jacó Dias Domingues,12.308.301/0002-47,Básico,Parrot,Bebopprothermal,PI040434AA8A000337,0.7,Aeroinspeção
PP-000037636,2025-03-31,MINA FABRICA,33.592.510/0007-40,Básico,DJI,Phantom 4 Pro (WM331A),0AXCF2R0A335,1.39,Aerofotografia
PP-100041660,2025-08-21,CVRD COMPLEXO MINERADOR DE CARAJAS,33.592.510/0370-74,Básico,DJI,Mavic 2 Enterprise Advanced (M2EA),4GCCJ6NR0A0F8L,1.1,Aeroinspeção
PP-065000009,2025-08-31,VALE S.A.,33.592.510/0001-54,Básico,DJI,Mavic 2 Enterprise Advanced (M2EA),4GCCK6DR0B0KH0,1.1,Aeroinspeção
PP-202220448,2025-10-27,VALE S.A.,33.592.510/0001-54,Básico,DJI,Dji Mavic 3 Pro (L2S),1581F67QC235S014GY44,0.96,Aeroinspeção
PP-000854854,2025-09-01,Levi Welington de Resende Filho / Jacó Dias Domingues,12.308.301/0002-47,Básico,DJI,Matrice 600 Pro (M600 Pro),M80DG37 003ECD2,15.5,Aerolevantamento - Aerofotogrametria
PP-065000008,2025-06-01,VALE S.A.,33.592.510/0001-54,Básico,DJI,Mavic 2 Enterprise Advanced (M2EA),4GCCK6QR0B0PTA,1.1,Aeroinspeção
PP-202344351,2025-07-04,CVRD COMPLEXO MINERADOR DE CARAJAS,33.592.510/0370-74,Básico,DJI,Mavic 2 Enterprise Advanced (M2EA),276DFAK001Z04W,1.1,Aeroinspeção
PP-016200400,2025-08-14,Mina de fazendão,33.592.510/0235-29,Básico,DJI,Mavic 2 Pro,16CGBVR0A63LT,0.91,Aerofotografia
PP-041156885,2025-04-24,SALOBO METAIS S/A,33.931.478/0002-75,Básico,DJI,Dji M30 Enterprise,1581F4BND229H00D7PB5,4.0,Aerolevantamento - Aerofotogrametria
PP-584499300,2025-11-01,INEA-RJ,10.598.957/0001-35,Básico,DJI,Phantom 4 (WM330A),07D3H4700SD044,1.38,Órgãos de Fiscalização - Entidades Estatais
PS-850303942,2025-09-26,Levi Welington de Resende Filho / Jacó Dias Domingues,12.308.301/0002-47,Avançado,Asctec,Pelican,17022,1.65,Experimental
PP-202301062,2025-01-06,CVRD - MINA DE GONGO SOCO,33.592.510/0433-92,Básico,DJI,Mavic 2 Enterprise Advanced (M2EA),4GCCK8JR0B0XFR,1.1,Aerofotografia
PP-102938470,2025-09-26,Levi Welington de Resende Filho / Jacó Dias Domingues,12.308.301/0002-47,Básico,Xmobots,Arator 5a,A13,5.0,Aerolevantamento - Aerofotogrametria
PP-197720414,2024-10-23,CVRD - MINA DE GONGO SOCO,33.592.510/0433-92,Básico,DJI,Mavic 2 (L1P / L1Z),163CGC9R0A6EM0,0.91,Aerofotografia
PP-016200300,2025-08-14,Mina de fazendão,33.592.510/0235-29,Básico,DJI,Mavic 2 Pro,163CGBLR0A5LPN,0.91,Aerofotografia
