CODIGO_AERONAVE,DATA_VALIDADE,OPERADOR,CNPJ,TIPO_USO,FABRICANTE,MODELO,NUMERO_SERIE,PESO_MAXIMO_DECOLAGEM_KG,RAMO_ATIVIDADE,VENCIDO
PP-300820212,2024-09-18,CVRD-MINA FAZENDA RIO PEIXE,33.592.510/0034-12,Básico,DJI,Mavic 2 (L1P / L1Z),0M6CH3GR0A0E3M,0.91,Aeroinspeção,VENCIDO
PP-300820211,2024-09-18,CVRD-MINA FAZENDA RIO PEIXE,33.592.510/0034-12,Básico,DJI,Mavic 2 (L1P / L1Z),0M6CH3HR0A0F4M,0.91,Aeroinspeção,VENCIDO
PP-013564100,2024-09-13,CVRD-MINA FAZENDA RIO PEIXE,33.592.510/0034-12,Básico,DJI,Mavic 2 Enterprise Advanced (M2EA),276DF9N001J4YE,1.1,Aeroinspeção,VENCIDO
PP-000100030,2024-09-05,CVRD AREA OPERACIONAL DA PELOTIZACAO,33.592.510/0220-42,Básico,DJI,Mavic 2 Enterprise Advanced (M2EA),4GCCK67R0B0HRG,1.1,Aeroinspeção,VENCIDO
PP-120803198,2024-08-29,VALE S.A.,33.592.510/0001-54,Básico,DJI,Mavic 2 Interprise,276CH6G,0.91,Aeroinspeção,VENCIDO
PP-020184678,2024-08-04,MINA SERRA DO SOSSEGO,33.592.510/0009-01,Básico,DJI,Mavic Pro (M1P),276CGBQR0A00CS,0.74,Aerofotografia,VENCIDO
PP-027680026,2024-08-04,MINA SERRA DO SOSSEGO,33.592.510/0009-01,Básico,DJI,Mavic 2 (L1P / L1Z),276CGC8R0A02Z6,0.91,Aerofotografia,VENCIDO
PP-158719687,2024-07-29,CVRD COMPLEXO MINERADOR DE ITABIRA,33.592.510/0164-09,Básico,"Shenzhen Swellpro Technology Co.,Ltd",Splash Drone 3+,1932-SD3+1630-V02,1.45,: Mineração a Céu Aberto,VENCIDO
PP-052003534,2024-07-25,INSTITUTO ESTADUAL DE MEIO AMBIENTE E RECURSOS HIDRICOS - IEMA,05.200.358/0001-81,Básico,DJI,DJI Mini 2 (MT2PD),3Q4CJ7M3A3231U,0.25,Aerofotografia,VENCIDO
PP-052003531,2024-07-25,INSTITUTO ESTADUAL DE MEIO AMBIENTE E RECURSOS HIDRICOS - IEMA,05.200.358/0001-81,Básico,DJI,DJI Mini 2 (MT2PD),3Q4CJ7M3A324HU,0.25,Aerofotografia,VENCIDO
PP-052003504,2024-07-25,INSTITUTO ESTADUAL DE MEIO AMBIENTE E RECURSOS HIDRICOS - IEMA,05.200.358/0001-81,Básico,DJI,Phantom 4 Pro V2.0 (WM331S),11USJ7JR720085,1.38,Órgãos de Fiscalização - Entidades Estatais,VENCIDO
PP-756984322,2024-07-25,INSTITUTO ESTADUAL DE MEIO AMBIENTE E RECURSOS HIDRICOS - IEMA,05.200.358/0001-81,Básico,DJI,Mavic 2 Enterprise Advanced (M2EA),276CJ1RR0A0LWV,1.1,Aerofotografia,VENCIDO
PP-052003501,2024-07-25,INSTITUTO ESTADUAL DE MEIO AMBIENTE E RECURSOS HIDRICOS - IEMA,05.200.358/0001-81,Básico,DJI,Phantom 4 Advanced (WM332A),OAXCE6POA31605,1.37,Aerofotografia,VENCIDO
